surname,nationality,split
Kassis,Arabic,train
Maalouf,Arabic,train
Rahal,Arabic,train
Mifsud,Arabic,train
Bahar,Arabic,train
Mansour,Arabic,train
Harb,Arabic,train
Seif,Arabic,train
Gaber,Arabic,train
Antar,Arabic,train
Shamoun,Arabic,train
Bazzi,Arabic,train
Kanaan,Arabic,train
Morcos,Arabic,train
Bitar,Arabic,train
Atiyeh,Arabic,train
Cham,Arabic,train
Cham,Arabic,train
Baz,Arabic,train
Amari,Arabic,train
Sabbag,Arabic,train
Bazzi,Arabic,train
Asker,Arabic,train
Aswad,Arabic,train
Shalhoub,Arabic,train
Shadid,Arabic,train
Said,Arabic,train
Shammas,Arabic,train
Saliba,Arabic,train
Masih,Arabic,train
Essa,Arabic,train
Sarraf,Arabic,train
Basara,Arabic,train
Sarraf,Arabic,train
Hadad,Arabic,train
Sayegh,Arabic,train
Malouf,Arabic,train
Malouf,Arabic,train
Najjar,Arabic,train
Gerges,Arabic,train
Ganim,Arabic,train
Said,Arabic,train
Kassis,Arabic,train
Sayegh,Arabic,train
Abboud,Arabic,train
Toma,Arabic,train
Shadid,Arabic,train
Mikhail,Arabic,train
Morcos,Arabic,train
Nassar,Arabic,train
Sarkis,Arabic,train
Awad,Arabic,train
Cham,Arabic,train
Issa,Arabic,train
Kassis,Arabic,train
Essa,Arabic,train
Toma,Arabic,train
Shamon,Arabic,train
Mustafa,Arabic,train
Qureshi,Arabic,train
Naser,Arabic,train
Rahal,Arabic,train
Botros,Arabic,train
Sarkis,Arabic,train
Cham,Arabic,train
Abboud,Arabic,train
Asghar,Arabic,train
Kassis,Arabic,train
Nader,Arabic,train
Kassis,Arabic,train
Baz,Arabic,train
Salib,Arabic,train
Assaf,Arabic,train
Nassar,Arabic,train
Salib,Arabic,train
Essa,Arabic,train
Dagher,Arabic,train
Tahan,Arabic,train
Hajjar,Arabic,train
Gerges,Arabic,train
Kattan,Arabic,train
Mifsud,Arabic,train
Bishara,Arabic,train
Rahal,Arabic,train
Haik,Arabic,train
Sarkis,Arabic,train
Essa,Arabic,train
Maloof,Arabic,train
Attia,Arabic,train
Asker,Arabic,train
Ganim,Arabic,train
Toma,Arabic,train
Safar,Arabic,train
Morcos,Arabic,train
Shadid,Arabic,train
Nassar,Arabic,train
Mansour,Arabic,train
Shammas,Arabic,train
Gerges,Arabic,train
Amari,Arabic,train
Ghanem,Arabic,train
Shalhoub,Arabic,train
Tahan,Arabic,train
Almasi,Arabic,train
Malouf,Arabic,train
Moghadam,Arabic,train
Arian,Arabic,train
Bahar,Arabic,train
Zogby,Arabic,train
Abadi,Arabic,train
Aswad,Arabic,train
Nader,Arabic,train
Boutros,Arabic,train
Nader,Arabic,train
Gerges,Arabic,train
Antoun,Arabic,train
Bazzi,Arabic,train
Cham,Arabic,train
Cham,Arabic,train
Shalhoub,Arabic,train
Assaf,Arabic,train
Hanania,Arabic,train
Awad,Arabic,train
Sabbag,Arabic,train
Ghannam,Arabic,train
Kalb,Arabic,train
Ghannam,Arabic,train
Shadid,Arabic,train
Wasem,Arabic,train
Srour,Arabic,train
Seif,Arabic,train
Touma,Arabic,train
Asker,Arabic,train
Sabbag,Arabic,train
Sleiman,Arabic,train
Kassis,Arabic,train
Srour,Arabic,train
Nassar,Arabic,train
Shalhoub,Arabic,train
Deeb,Arabic,train
Attia,Arabic,train
Fakhoury,Arabic,train
Saliba,Arabic,train
Attia,Arabic,train
Attia,Arabic,train
Daher,Arabic,train
Ganim,Arabic,train
Ghannam,Arabic,train
Totah,Arabic,train
Boutros,Arabic,train
Kalb,Arabic,train
Asghar,Arabic,train
Nader,Arabic,train
Sarraf,Arabic,train
Hakimi,Arabic,train
Wasem,Arabic,train
Kalb,Arabic,train
Hajjar,Arabic,train
Harb,Arabic,train
Nader,Arabic,train
Wasem,Arabic,train
Khouri,Arabic,train
Antar,Arabic,train
Tahan,Arabic,train
Toma,Arabic,train
Essa,Arabic,train
Mikhail,Arabic,train
Salib,Arabic,train
Attia,Arabic,train
Nazari,Arabic,train
Khoury,Arabic,train
Naifeh,Arabic,train
Maalouf,Arabic,train
Zogby,Arabic,train
Deeb,Arabic,train
Shammas,Arabic,train
Maalouf,Arabic,train
Koury,Arabic,train
Seif,Arabic,train
Morcos,Arabic,train
Samaha,Arabic,train
Basara,Arabic,train
Nahas,Arabic,train
Guirguis,Arabic,train
Harb,Arabic,train
Khouri,Arabic,train
Baz,Arabic,train
Fakhoury,Arabic,train
Sarraf,Arabic,train
Touma,Arabic,train
Deeb,Arabic,train
Sleiman,Arabic,train
Quraishi,Arabic,train
Antar,Arabic,train
Baba,Arabic,train
Quraishi,Arabic,train
Hadad,Arabic,train
Salib,Arabic,train
Kattan,Arabic,train
Morcos,Arabic,train
Boutros,Arabic,train
Ghanem,Arabic,train
Nazari,Arabic,train
Shadid,Arabic,train
Safar,Arabic,train
Tahan,Arabic,train
Halabi,Arabic,train
Botros,Arabic,train
Hanania,Arabic,train
Sarkis,Arabic,train
Bazzi,Arabic,train
Gaber,Arabic,train
Masih,Arabic,train
Saliba,Arabic,train
Abboud,Arabic,train
Mustafa,Arabic,train
Hajjar,Arabic,train
Hajjar,Arabic,train
Amari,Arabic,train
Haddad,Arabic,train
Botros,Arabic,train
Abadi,Arabic,train
Nassar,Arabic,train
Attia,Arabic,train
Ghanem,Arabic,train
Hakimi,Arabic,train
Sarraf,Arabic,train
Antar,Arabic,train
Maalouf,Arabic,train
Kattan,Arabic,train
Deeb,Arabic,train
Bitar,Arabic,train
Mifsud,Arabic,train
Totah,Arabic,train
Almasi,Arabic,train
Botros,Arabic,train
Asghar,Arabic,train
Sleiman,Arabic,train
Basara,Arabic,train
Qureshi,Arabic,train
Isa,Arabic,train
Awad,Arabic,train
Botros,Arabic,train
Sleiman,Arabic,train
Tannous,Arabic,train
Almasi,Arabic,train
Saliba,Arabic,train
Ganim,Arabic,train
Asghar,Arabic,train
Boulos,Arabic,train
Antar,Arabic,train
Boutros,Arabic,train
Toma,Arabic,train
Gaber,Arabic,train
Naifeh,Arabic,train
Ganim,Arabic,train
Aswad,Arabic,train
Kouri,Arabic,train
Abboud,Arabic,train
Maalouf,Arabic,train
Naser,Arabic,train
Ganem,Arabic,train
Naifeh,Arabic,train
Kalb,Arabic,train
Shamon,Arabic,train
Attia,Arabic,train
Maroun,Arabic,train
Asker,Arabic,train
Sabbagh,Arabic,train
Hanania,Arabic,train
Handal,Arabic,train
Najjar,Arabic,train
Sabbagh,Arabic,train
Najjar,Arabic,train
Shadid,Arabic,train
Nader,Arabic,train
Shamoun,Arabic,train
Arian,Arabic,train
Nader,Arabic,train
Rahal,Arabic,train
Nader,Arabic,train
Nassar,Arabic,train
Almasi,Arabic,train
Salib,Arabic,train
Baba,Arabic,train
Touma,Arabic,train
Bitar,Arabic,train
Nader,Arabic,train
Hadad,Arabic,train
Hadad,Arabic,train
Moghadam,Arabic,train
Fakhoury,Arabic,train
Hakimi,Arabic,train
Tahan,Arabic,train
Toma,Arabic,train
Kanaan,Arabic,train
Awad,Arabic,train
Sabbag,Arabic,train
Sarraf,Arabic,train
Haik,Arabic,train
Antar,Arabic,train
Handal,Arabic,train
Daher,Arabic,train
Bitar,Arabic,train
Shamoun,Arabic,train
Boulos,Arabic,train
Amari,Arabic,train
Bahar,Arabic,train
Botros,Arabic,train
Tahan,Arabic,train
Toma,Arabic,train
Cham,Arabic,train
Srour,Arabic,train
Malouf,Arabic,train
Mansour,Arabic,train
Nader,Arabic,train
Bahar,Arabic,train
Samaha,Arabic,train
Assaf,Arabic,train
Guirguis,Arabic,train
Issa,Arabic,train
Aswad,Arabic,train
Morcos,Arabic,train
Ghanem,Arabic,train
Fakhoury,Arabic,train
Asker,Arabic,train
Gaber,Arabic,train
Maroun,Arabic,train
Abboud,Arabic,train
Bazzi,Arabic,train
Shadid,Arabic,train
Maalouf,Arabic,train
Halabi,Arabic,train
Asghar,Arabic,train
Shammas,Arabic,train
Kalb,Arabic,train
Haddad,Arabic,train
Ganim,Arabic,train
Saliba,Arabic,train
Aswad,Arabic,train
Gaber,Arabic,train
Tannous,Arabic,train
Seif,Arabic,train
Gaber,Arabic,train
Issa,Arabic,train
Ganem,Arabic,train
Maroun,Arabic,train
Shadid,Arabic,train
Khouri,Arabic,train
Mustafa,Arabic,train
Nassar,Arabic,train
Basara,Arabic,train
Haddad,Arabic,train
Bitar,Arabic,train
Sayegh,Arabic,train
Assaf,Arabic,train
Ganim,Arabic,train
Maroun,Arabic,train
Basara,Arabic,train
Mifsud,Arabic,train
Aswad,Arabic,train
Sayegh,Arabic,train
Halabi,Arabic,train
Guirguis,Arabic,train
Qureshi,Arabic,train
Bishara,Arabic,train
Nader,Arabic,train
Halabi,Arabic,train
Kanaan,Arabic,train
Mikhail,Arabic,train
Ghanem,Arabic,train
Malouf,Arabic,train
Handal,Arabic,train
Srour,Arabic,train
Totah,Arabic,train
Saliba,Arabic,train
Quraishi,Arabic,train
Shalhoub,Arabic,train
Kassab,Arabic,train
Maroun,Arabic,train
Sleiman,Arabic,train
Hadad,Arabic,train
Kassis,Arabic,train
Fakhoury,Arabic,train
Ghannam,Arabic,train
Morcos,Arabic,train
Najjar,Arabic,train
Handal,Arabic,train
Cham,Arabic,train
Maalouf,Arabic,train
Saliba,Arabic,train
Arian,Arabic,train
Kassab,Arabic,train
Kalb,Arabic,train
Harb,Arabic,train
Mustafa,Arabic,train
Guirguis,Arabic,train
Fakhoury,Arabic,train
Sabbag,Arabic,train
Ba,Arabic,train
Assaf,Arabic,train
Fakhoury,Arabic,train
Kassis,Arabic,train
Handal,Arabic,train
Toma,Arabic,train
Maroun,Arabic,train
Antoun,Arabic,train
Fakhoury,Arabic,train
Khoury,Arabic,train
Quraishi,Arabic,train
Daher,Arabic,train
Botros,Arabic,train
Ganim,Arabic,train
Isa,Arabic,train
Harb,Arabic,train
Asghar,Arabic,train
Asghar,Arabic,train
Kassis,Arabic,train
Bishara,Arabic,train
Tuma,Arabic,train
Sayegh,Arabic,train
Kassis,Arabic,train
Mustafa,Arabic,train
Essa,Arabic,train
Dagher,Arabic,train
Gerges,Arabic,train
Koury,Arabic,train
Mustafa,Arabic,train
Antar,Arabic,train
Shamon,Arabic,train
Hadad,Arabic,train
Naser,Arabic,train
Asker,Arabic,train
Samaha,Arabic,train
Shamon,Arabic,train
Guirguis,Arabic,train
Handal,Arabic,train
Sarkis,Arabic,train
Mifsud,Arabic,train
Najjar,Arabic,train
Shalhoub,Arabic,train
Nazari,Arabic,train
Kalb,Arabic,train
Baba,Arabic,train
Seif,Arabic,train
Sayegh,Arabic,train
Srour,Arabic,train
Malouf,Arabic,train
Fakhoury,Arabic,train
Asfour,Arabic,train
Kalb,Arabic,train
Srour,Arabic,train
Deeb,Arabic,train
Seif,Arabic,train
Essa,Arabic,train
Maloof,Arabic,train
Naser,Arabic,train
Mifsud,Arabic,train
Nader,Arabic,train
Ba,Arabic,train
Tuma,Arabic,train
Shadid,Arabic,train
Tuma,Arabic,train
Sabbagh,Arabic,train
Bahar,Arabic,train
Haik,Arabic,train
Kanaan,Arabic,train
Totah,Arabic,train
Hadad,Arabic,train
Kouri,Arabic,train
Sarraf,Arabic,train
Boutros,Arabic,train
Tannous,Arabic,train
Arian,Arabic,train
Nader,Arabic,train
Mansour,Arabic,train
Kassis,Arabic,train
Sarkis,Arabic,train
Asfour,Arabic,train
Baz,Arabic,train
Haik,Arabic,train
Said,Arabic,train
Awad,Arabic,train
Safar,Arabic,train
Khoury,Arabic,train
Bazzi,Arabic,train
Bata,Arabic,train
Hanania,Arabic,train
Kassis,Arabic,train
Tannous,Arabic,train
Almasi,Arabic,train
Asghar,Arabic,train
Almasi,Arabic,train
Baz,Arabic,train
Ganim,Arabic,train
Botros,Arabic,train
Said,Arabic,train
Abadi,Arabic,train
Harb,Arabic,train
Tahan,Arabic,train
Bishara,Arabic,train
Sarkis,Arabic,train
Bahar,Arabic,train
Gerges,Arabic,train
Najjar,Arabic,train
Bitar,Arabic,train
Guirguis,Arabic,train
Cham,Arabic,train
Ganim,Arabic,train
Hakimi,Arabic,train
Nahas,Arabic,train
Arian,Arabic,train
Handal,Arabic,train
Awad,Arabic,train
Asghar,Arabic,train
Abboud,Arabic,train
Assaf,Arabic,train
Hakimi,Arabic,train
Shamon,Arabic,train
Hanania,Arabic,train
Shamoun,Arabic,train
Atiyeh,Arabic,train
Saliba,Arabic,train
Arian,Arabic,train
Gaber,Arabic,train
Tannous,Arabic,train
Harb,Arabic,train
Antar,Arabic,train
Amari,Arabic,train
Mifsud,Arabic,train
Kassis,Arabic,train
Totah,Arabic,train
Bitar,Arabic,train
Kanaan,Arabic,train
Rahal,Arabic,train
Abadi,Arabic,train
Sarraf,Arabic,train
Antoun,Arabic,train
Asker,Arabic,train
Shamoon,Arabic,train
Boutros,Arabic,train
Daher,Arabic,train
Sabbag,Arabic,train
Nahas,Arabic,train
Shammas,Arabic,train
Shalhoub,Arabic,train
Gaber,Arabic,train
Arian,Arabic,train
Deeb,Arabic,train
Abboud,Arabic,train
Shamoon,Arabic,train
Quraishi,Arabic,train
Nassar,Arabic,train
Baba,Arabic,train
Shamoun,Arabic,train
Boulos,Arabic,train
Basara,Arabic,train
Hakimi,Arabic,train
Antoun,Arabic,train
Haddad,Arabic,train
Najjar,Arabic,train
Assaf,Arabic,train
Shadid,Arabic,train
Awad,Arabic,train
Totah,Arabic,train
Zogby,Arabic,train
Zogby,Arabic,train
Sarraf,Arabic,train
Hakimi,Arabic,train
Samaha,Arabic,train
Tahan,Arabic,train
Botros,Arabic,train
Tahan,Arabic,train
Cham,Arabic,train
Dagher,Arabic,train
Quraishi,Arabic,train
Handal,Arabic,train
Handal,Arabic,train
Bata,Arabic,train
Moghadam,Arabic,train
Toma,Arabic,train
