,split,source_language,target_language
0,train,he 's the cutest boy in town .,c'est le garçon le plus mignon en ville .
1,train,he 's a nonsmoker .,il est non-fumeur .
2,train,he 's smarter than me .,il est plus intelligent que moi .
3,train,he 's a lovely young man .,c'est un adorable jeune homme .
4,train,he 's three years older than me .,il a trois ans de plus que moi .
5,train,he 's washing your car .,il lave votre voiture .
6,train,he 's your typical workaholic .,"il est l'archétype du bourreau de travail , tel que tu te l'imagines ."
7,train,he 's waiting for you at home .,il t'attend chez nous .
8,train,he 's a historian .,il est historien .
9,train,he 's studying .,il étudie .
10,train,he 's down to earth .,il est concret .
11,train,he 's starting to feel desperate .,il commence à se sentir désespéré .
12,train,he 's sketching an apple .,il est en train de dessiner une pomme .
13,train,he 's worried about the result .,il se préoccupe du résultat .
14,train,he 's out of town .,il ne se trouve pas en ville .
15,train,he 's a freelance journalist .,c'est un pigiste .
16,train,he 's afraid of snakes .,il a peur des serpents .
17,train,he 's nothing more than a common thug .,il n'est rien d'autre qu'un vulgaire voyou .
18,train,he 's a journalist .,il est journaliste .
19,train,he 's waiting for the train to leave .,il attend que le train parte .
20,train,he 's not available .,il est indisponible .
21,train,he 's very young . he 's much younger than tom .,il est très jeune . il est beaucoup plus jeune que tom .
22,train,he 's waiting for you at home .,il t'attend à la maison .
23,train,he 's perfect at everything .,il est parfait en tout .
24,train,he 's eight years old .,il a huit ans .
25,train,he 's a notorious liar .,c'est un menteur notoire .
26,train,he 's ruthless .,il est impitoyable .
27,train,"he 's kind of cute , is n't he ?","il est assez mignon , non ?"
28,train,he 's lazy .,il est paresseux .
29,train,he 's looking at you .,il est en train de vous regarder .
30,train,he 's our only suspect .,il est notre unique suspect .
31,train,he 's tickled pink .,il est aux anges .
32,train,he 's a university student .,c'est un étudiant de l'université .
33,train,he 's not very good at it .,il n ' y excelle pas .
34,train,he 's used to speaking in public .,il est habitué à parler en public .
35,train,he 's a hunk .,c'est un beau gosse .
36,train,he 's wide awake .,il est tout à fait éveillé .
37,train,he 's not worthy of you .,il n'est pas digne de vous .
38,train,he 's smart .,il est intelligent .
39,train,he 's my partner .,c'est mon compagnon .
40,train,he 's stronger than you .,il est plus fort que vous .
41,train,he 's not always happy .,il n'est pas toujours heureux .
42,train,he 's a bigot .,c'est un illuminé .
43,train,he 's addicted .,il est accro .
44,train,he 's got the new technique down pat .,il maîtrise la nouvelle technique .
45,train,he 's not good at remembering names .,il n'est pas doué pour retenir les noms .
46,train,he 's here trying to stir up trouble .,il est ici pour fomenter des troubles .
47,train,he 's not my type .,il n'est pas mon genre .
48,train,he 's very influential in the world of medicine .,il est très influent dans le monde de la médecine .
49,train,he 's always chasing girls .,il court toujours après les filles .
50,train,he 's a little taller than you are .,il est un peu plus grand que vous .
51,train,he 's not supposed to be here .,il n'est pas supposé se trouver là .
52,train,he 's just not the person i thought he was .,il n'est simplement pas la personne que je pensais .
53,train,he 's the laziest person i know .,il est la personne la plus paresseuse que je connaisse .
54,train,he 's waiting for you at home .,il vous attend chez moi .
55,train,he 's a control freak .,c'est un maniaque du contrôle .
56,train,he 's afraid of making mistakes .,il a peur de faire des erreurs .
57,train,he 's rich and powerful .,il est riche et puissant .
58,train,he 's an author .,c'est un auteur .
59,train,he 's an opera lover .,c'est un inconditionnel de l'opéra .
60,train,he 's acting on his own .,il agit de son propre chef .
61,train,"he 's older , but no wiser .","il est plus vieux , mais pas plus sage ."
62,train,he 's short and fat .,il est petit et gros .
63,train,he 's somewhere in the park .,il se trouve quelque part dans le parc .
64,train,he 's greedy and lazy .,il est avide et paresseux .
65,train,he 's already married .,il est déjà marié .
66,train,he 's loaded .,il est plein aux as .
67,train,he 's more than likely to be late .,il est plus que probable qu'il sera en retard .
68,train,he 's a typical japanese man .,c'est un japonais typique .
69,train,he 's agreed to do the job .,il a accepté de faire le travail .
70,train,he 's not at all afraid of snakes .,il ne craint pas du tout les serpents .
71,train,he 's very intelligent .,il est très intelligent .
72,train,he 's curious about everything .,il est curieux de tout .
73,train,he 's a bigot .,c'est un fanatique .
74,train,he 's english .,il est anglais .
75,train,he 's your son .,il est ton fils .
76,train,he 's not sick .,il n'est pas malade .
77,train,he 's right behind you .,il se trouve juste derrière vous .
78,train,he 's a rather rare individual .,c'est un individu plutôt rare .
79,train,he 's a man of his word .,c'est un homme qui tient toujours ses promesses .
80,train,he 's your friend .,il est ton ami .
81,train,he 's a good boy .,c'est un bon garçon .
82,train,he 's good .,il est bon .
83,train,he 's the one who told me about that .,c'est lui qui m ' a parlé de cela .
84,train,he 's always looking at you .,il vous regarde toujours .
85,train,he 's the black sheep of the family .,il est le mouton noir de la famille .
86,train,he 's skilled at videogames .,il est doué aux jeux vidéo .
87,train,he 's a ghostwriter .,c'est un nègre .
88,train,he 's sound asleep .,il dort profondément .
89,train,he 's writing his diary .,il écrit son journal .
90,train,he 's a hunk .,c'est un beau mec .
91,train,he 's open-minded .,il est ouvert d'esprit .
92,train,he 's drunk .,il est ivre .
93,train,he 's a tycoon .,c'est un magnat .
94,train,he 's never hit me before .,il ne m ' a jamais frappé auparavant .
95,train,he 's in danger .,il est en danger .
96,train,he 's on his last legs .,il est au bout de ses forces .
97,train,he 's my old drinking buddy .,c'est mon vieux compagnon de beuverie .
98,train,he 's so cute .,il est tellement mignon !
99,train,he 's attracted to black women .,il est attiré par les femmes noires .
100,train,he 's gone into hiding .,il est parti au maquis .
101,train,he 's very understanding .,il est très compréhensif .
102,train,he 's addicted to junk food .,il est accro à la malbouffe .
103,train,he 's got what it takes to make it in the business world .,il a ce qu'il faut pour réussir dans le monde des affaires .
104,train,he 's too drunk .,il est trop saoul .
105,train,he 's going to join our club .,il va se joindre à notre cercle .
106,train,he 's such a jerk .,c'est un de ces pauvres types !
107,train,he 's been drinking beer .,il a été boire une bière .
108,train,he 's looking at you .,il te regarde .
109,train,he 's here to protect you .,il est là pour te protéger .
110,train,he 's a bigot .,c'est un sectaire .
111,train,he 's looking good .,il a l'air bien .
112,train,he 's as blind as a bat .,il est myope comme une taupe .
113,train,he 's right behind you .,il est juste derrière toi .
114,train,he 's a very nice boy .,c'est un très chouette garçon .
115,train,he 's worried that he might be late .,il est préoccupé par la possibilité d'être en retard .
116,train,he 's a slob .,c'est un flemmard .
117,train,he 's not as old as my brother .,il n'est pas aussi âgé que mon frère .
118,train,he 's not in .,il n'est pas à l'intérieur .
119,train,he 's on the dance floor .,il est sur la piste de danse .
120,train,he 's demented .,il est fou .
121,train,he 's open-minded .,il a l'esprit ouvert .
122,train,he 's young and single .,il est jeune et célibataire .
123,train,he 's not a bad guy .,ce n'est pas un mauvais bougre .
124,train,he 's a very nice boy .,c'est un garçon très gentil .
