surname,nationality,split
Hadad,Arabic,train
Maloof,Arabic,train
Sleiman,Arabic,train
Tannous,Arabic,train
Sarraf,Arabic,train
Deeb,Arabic,train
Khouri,Arabic,train
Kassis,Arabic,train
Haik,Arabic,train
Boulos,Arabic,train
Nahas,Arabic,train
Touma,Arabic,train
Malouf,Arabic,train
Awad,Arabic,train
Rahal,Arabic,train
Morcos,Arabic,train
Zogby,Arabic,train
Antar,Arabic,train
Nazari,Arabic,train
Ba,Arabic,train
Kattan,Arabic,train
Tuma,Arabic,train
Aswad,Arabic,train
Touma,Arabic,train
Daher,Arabic,train
Mifsud,Arabic,train
Kattan,Arabic,train
Bazzi,Arabic,train
Handal,Arabic,train
Sleiman,Arabic,train
Nahas,Arabic,train
Sarkis,Arabic,train
Haik,Arabic,train
Hanania,Arabic,train
Asghar,Arabic,train
Koury,Arabic,train
Sarraf,Arabic,train
Naifeh,Arabic,train
Asker,Arabic,train
Shalhoub,Arabic,train
Sabbag,Arabic,train
Assaf,Arabic,train
Harb,Arabic,train
Shadid,Arabic,train
Zogby,Arabic,train
Bazzi,Arabic,train
Totah,Arabic,train
Boutros,Arabic,train
Sarraf,Arabic,train
Baba,Arabic,train
Zogby,Arabic,train
Shamoon,Arabic,train
Ghanem,Arabic,train
Saliba,Arabic,train
Totah,Arabic,train
Kouri,Arabic,train
Abboud,Arabic,train
Koury,Arabic,train
Saliba,Arabic,train
Seif,Arabic,train
Asghar,Arabic,train
Awad,Arabic,train
Shadid,Arabic,train
Assaf,Arabic,train
Sabbag,Arabic,train
Abadi,Arabic,train
Ganim,Arabic,train
Kanaan,Arabic,train
Kassab,Arabic,train
Tahan,Arabic,train
Baba,Arabic,train
Saliba,Arabic,train
Sabbag,Arabic,train
Kalb,Arabic,train
Toma,Arabic,train
Arian,Arabic,train
Boulos,Arabic,train
Bata,Arabic,train
Hanania,Arabic,train
Maloof,Arabic,train
Wasem,Arabic,train
Sarkis,Arabic,train
Baba,Arabic,train
Baba,Arabic,train
Isa,Arabic,train
Kattan,Arabic,train
Nahas,Arabic,train
Nazari,Arabic,train
Totah,Arabic,train
Bazzi,Arabic,train
Fakhoury,Arabic,train
Baz,Arabic,train
Kassab,Arabic,train
Ghanem,Arabic,train
Fakhoury,Arabic,train
Essa,Arabic,train
Morcos,Arabic,train
Cham,Arabic,train
Gaber,Arabic,train
Daher,Arabic,train
Safar,Arabic,train
Mustafa,Arabic,train
Sarkis,Arabic,train
Boutros,Arabic,train
Touma,Arabic,train
Daher,Arabic,train
Kalb,Arabic,train
Mansour,Arabic,train
Quraishi,Arabic,train
Mikhail,Arabic,train
Halabi,Arabic,train
Attia,Arabic,train
Said,Arabic,train
Wasem,Arabic,train
Cham,Arabic,train
Quraishi,Arabic,train
Rahal,Arabic,train
Saliba,Arabic,train
Nader,Arabic,train
Gerges,Arabic,train
Abboud,Arabic,train
Basara,Arabic,train
Said,Arabic,train
Essa,Arabic,train
Awad,Arabic,train
Abboud,Arabic,train
Assaf,Arabic,train
Botros,Arabic,train
Shadid,Arabic,train
Cham,Arabic,train
Hadad,Arabic,train
Seif,Arabic,train
Awad,Arabic,train
Maroun,Arabic,train
Mifsud,Arabic,train
Ghannam,Arabic,train
Bishara,Arabic,train
Koury,Arabic,train
Mustafa,Arabic,train
Maroun,Arabic,train
Ghanem,Arabic,train
Koury,Arabic,train
Abboud,Arabic,train
Bitar,Arabic,train
Haik,Arabic,train
Cham,Arabic,train
Hadad,Arabic,train
Koury,Arabic,train
Malouf,Arabic,train
Shadid,Arabic,train
Bahar,Arabic,train
Shamon,Arabic,train
Nader,Arabic,train
Asghar,Arabic,train
Shammas,Arabic,train
Khoury,Arabic,train
Shamon,Arabic,train
Boutros,Arabic,train
Shadid,Arabic,train
Shadid,Arabic,train
Sarkis,Arabic,train
Khouri,Arabic,train
Basara,Arabic,train
